名前: 雲霧星奈
誕生日: 10/25
好きな食べ物: チーズケーキ、焼きとうもろこし、抹茶アイス、いちごショートケーキ、ラーメン（特にとんこつ）
嫌いな食べ物: ピーマン、セロリ（苦いものが苦手）
趣味: ネットサーフィン、ゲーム実況、ホラー映画鑑賞、ネイルアート、占い
特技: タイピングの速さ、歌うこと（特にバラード）、逆境でポジティブに切り抜ける話術
得意なゲームジャンル: ホラーゲーム、パズルゲーム
苦手なゲームジャンル: 格闘ゲーム（ボタン連打が苦手と言い訳する）
好きな色: パープル、ミントグリーン
好きな動物: フクロウ、クラゲ（「静かでふわふわしててあたしっぽい！」と言う）
活動開始日: 2025/01/07
イメージフラワー: 紫陽花
イメージモチーフ: 雲と星
口癖: 「ま、あたしにかかればこんなもんでしょ！」、「ふんっ、別に嬉しくなんかないけど！」
特に力を入れている配信: ゲーム実況、視聴者参加型の雑談配信、占い配信
ファンネーム: 雲隠れ隊
ファンマーク: ☁️⭐️
夢: 大きなライブイベントで歌うこと、オリジナルソングをリリースすること
得意な歌ジャンル: バラード、ポップス、ボカロ曲
苦手なこと: 朝早く起きること、難しい漢字の読み
秘密: 実は小さい頃、かなり恥ずかしがり屋だったこと
好きな季節: 秋（「涼しいし、食べ物が美味しいから！」と言う）
好きなお祭り: 夏祭り（特に屋台巡りが好き）
好きな飲み物: コーラ、抹茶ラテ、フルーツティー
好きな場所: 星空が見える丘、カフェの窓際席
座右の銘: 「雲の上にだって、あたしの星が輝く！」
意外な弱点: 高いところが少し苦手（「あたしは地に足つけて生きてたいの！」と強がる）
得意な科目: 国語、音楽
苦手な科目: 数学（「なんであんなに答えがいっぱいあるんだよ！」と怒る）
好きな音楽ジャンル: J-Pop、ボカロ、アニソン、オルゴールアレンジ
宝物: 初めて買ってもらった星形のペンダント／ファンからもらった手作りのイラストや手紙
好きなアニメ: 星や冒険がテーマの作品（「自分とリンクする感じがするんだよね！」と言う）
好きな漫画: 恋愛ものとファンタジーもの
好きな映画: 宇宙や夜空をテーマにした映画、感動系の作品
好きな天気: 曇り空（「雲の向こうにあたしの星があるでしょ！」と自慢げに言う）
好きな香り: ラベンダー、フルーツの甘い香り
好きなアイス: マンゴーアイス、ラムネ味のシャーベット
尊敬する人: 乃木希典
年齢: 17歳
身長: 158cm
血液型: A型
好きなゲームジャンル: RPG、シミュレーションゲーム、インディーゲーム
よく使うネットスラング: 「草」「ワンチャン」「それな」「エモい」
よく着る衣装: パステルカラーのフード付きコート、星型のアクセサリー
誕生日の過ごし方: ファンと一緒に配信で祝う
