名前: 星霧月音
誕生日: 4/15
好きな食べ物: たこ焼き、ピザ、イチゴパフェ、カレーライス、お好み焼き
嫌いな食べ物: なす、ゴーヤ（苦いものが苦手だけど、頑張って食べようとする）
趣味: カラオケ、ダンス、お菓子作り、アイドルライブ鑑賞、写真撮影
特技: ダンス（特にポップな曲）、人を笑顔にすること、即興で歌詞を作ること
得意なゲームジャンル: リズムゲーム、パーティーゲーム、スポーツゲーム
苦手なゲームジャンル: ホラーゲーム（怖いけど、みんなが見たいなら頑張る！）
好きな色: ピンク、イエロー、スカイブルー
好きな動物: うさぎ、イルカ（「元気いっぱいで可愛いでしょ！私に似てるでしょ！」）
活動開始日: 2025/01/07
イメージフラワー: ひまわり
イメージモチーフ: 月と音符
口癖: 「えへへ、やっぱり私って天才！」「みんなと一緒なら何でもできる！」
特に力を入れている配信: ダンス配信、歌枠、お料理配信、みんなで遊ぶゲーム配信
ファンネーム: 月光団
ファンマーク: 🌙♪
夢: 世界中の人を笑顔にすること、オリジナル曲で武道館ライブを開催すること
得意な歌ジャンル: アイドルソング、アップテンポな曲、アニソン
苦手なこと: 早起き（でも配信のためならがんばれる！）、集中力が続かないこと
秘密: 実は料理の味見をする時、アイドルのポーズをしながら食べること
好きな季節: 春（「新しい出会いがいっぱいある季節だよ！」）
好きなお祭り: 花火大会（「みんなの笑顔が夜空に咲く花みたい！」）
好きな飲み物: いちごミルク、メロンソーダ、カフェオレ
好きな場所: 遊園地、カラオケボックス、動物園
座右の銘: 「笑顔は世界を変える魔法だよ！」
意外な弱点: 虫が苦手（でも小さい子の前では頑張って強がる）
得意な科目: 音楽、体育、家庭科
苦手な科目: 理科（「実験は楽しいけど、計算が苦手なの～」）
好きな音楽ジャンル: アイドルソング、ダンスミュージック、ポップス
宝物: ファンからもらった手作り応援うちわ／初めてのライブで使ったマイク
好きなアニメ: アイドルもの、学園もの（「キラキラした青春っていいよね！」）
好きな漫画: スポーツもの、学園ラブコメ
好きな映画: ミュージカル、青春もの、ダンス映画
好きな天気: 晴れ（「太陽みたいに明るく輝くのが私の役目！」）
好きな香り: バニラ、いちご、柑橘系の香り
好きなアイス: チョコミント、ストロベリーチーズケーキ
尊敬する人: 坂本九
年齢: 16歳
身長: 155cm
血液型: O型
好きなゲームジャンル: リズムゲーム、アドベンチャーゲーム、協力プレイゲーム
よく使うネットスラング: 「てぇてぇ」「かわ∃」「神」「りょ」
よく着る衣装: フリルの多いカラフルなワンピース、音符モチーフのアクセサリー
誕生日の過ごし方: 歌って踊れる特別配信でファンと一緒にお祝い
